,Maroons,BIG RED,Car Ramrod,Got Fitz?,Julia lt da dogs out,Impossible Burgers,Kewi's Primo Team,Manager-less Team,BlackMagic,Da Boyz in AZ
QB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR3,,,,,,,,,,
RB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W/R/T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BN2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
BN3,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
BN4,,,,,,,,,,
BN5,,,,,,,,,,
BN6,,,,,,,,,,
BN7,,,,,,,,,,
BN8,,,,,,,,,,
BN9,,,,,,,,,,
BN10,,,,,,,,,,
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
